keyword,tfidf_delta_covid_period_shift,tfidf_delta_cumulative_change,tfidf_delta_government_change_pre_covid,log_odds_z_covid_period_shift,log_odds_z_cumulative_change,log_odds_z_government_change_pre_covid,effect_pattern,absolute_cumulative_tfidf_change
배송,0.0008991287135365716,0.0012182561896217762,0.0003191274760852047,24.817032117346884,38.39892648250489,13.288674335509894,cumulative_reconfiguration,0.0012182561896217762
텍스트는,0.0007378872025231918,0.001217249133407332,0.00047936193088414015,29.60649870701587,61.36296675334505,38.31510817885707,cumulative_reconfiguration,0.001217249133407332
지지층,0.001022094240272135,0.0012110274185307868,0.00018893317825865194,24.61395238492665,34.22233290504921,8.676204150298103,cumulative_reconfiguration,0.0012110274185307868
분리,0.0007794091586859199,0.0012051436162191878,0.0004257344575332679,15.477503205315752,26.53774042766195,10.324240174651855,cumulative_reconfiguration,0.0012051436162191878
원격,0.0011240207072142697,0.0011941878526706363,7.016714545636656e-05,31.39865706616153,35.98932285211914,2.80231251307069,cumulative_reconfiguration,0.0011941878526706363
면역,0.0009810635087215318,0.0011893258836014517,0.00020826237487992015,30.626911932639462,42.05217715313787,11.35451309316903,cumulative_reconfiguration,0.0011893258836014517
발동,0.001048986698744878,0.0011847207569114812,0.00013573405816660335,22.618488889527637,27.315186734197773,3.5478543698654588,cumulative_reconfiguration,0.0011847207569114812
공모,0.0009256685408633486,0.0011768100357981367,0.0002511414949347881,14.27451325668918,25.064145953021512,10.127181351028678,cumulative_reconfiguration,0.0011768100357981367
부산시,0.0008502592337833116,0.0011731316562660244,0.00032287242248271275,13.395930389797147,22.370188514817592,8.346914001811422,cumulative_reconfiguration,0.0011731316562660244
검사들,0.0008404403650545555,0.0011716869625093898,0.0003312465974548344,19.266158311689207,33.25442213494174,13.843519792702478,cumulative_reconfiguration,0.0011716869625093898
대면,0.0011313040507536383,0.001158295142549474,2.6991091795835662e-05,31.13016847032325,33.01981341856419,-0.2677971873434149,cumulative_reconfiguration,0.001158295142549474
초선,0.0010644900372468505,0.0011536285745256958,8.913853727884522e-05,25.78608847463364,31.55583769931725,4.481833913301765,cumulative_reconfiguration,0.0011536285745256958
논란,0.0010308968575997723,0.001148563173068981,0.00011766631546920869,10.670580799887135,24.0773226312322,12.884898997800306,cumulative_reconfiguration,0.001148563173068981
음성변조,0.0002706463690468205,0.001134774116613372,0.0008641277475665516,5.25688112089572,31.65110059035824,26.71668696052934,pre_existing_government_change,0.001134774116613372
연관,0.000660193465115633,0.001123897779217491,0.00046370431410185813,4.807525533453162,14.175561776506932,9.132112576255606,cumulative_reconfiguration,0.001123897779217491
호소,0.001115440208024932,0.0011212079106550383,5.767702630106279e-06,20.301686653155592,23.944189524370685,2.598581297802932,cumulative_reconfiguration,0.0011212079106550383
