keyword,tfidf_delta_covid_period_shift,tfidf_delta_cumulative_change,tfidf_delta_government_change_pre_covid,log_odds_z_covid_period_shift,log_odds_z_cumulative_change,log_odds_z_government_change_pre_covid,effect_pattern,absolute_cumulative_tfidf_change
사의,0.0006203303119661142,0.0006116922071768497,-8.638104789264445e-06,17.81969277110023,17.573170816763408,-1.2915902399827104,post_covid_specific_increase,0.0006116922071768497
합류,0.0008991588963164828,0.0005941036320718019,-0.00030505526424468086,18.08091848620606,13.758155625271671,-5.2498426675452565,post_covid_specific_increase,0.0005941036320718019
위성,0.0006708312668113612,0.0005915893305567954,-7.924193625456581e-05,19.40908876482017,22.50480022408543,2.037239421056808,post_covid_specific_increase,0.0005915893305567954
매매,0.0006537870656327218,0.000566454299426755,-8.733276620596681e-05,16.087129777992534,14.848096991155613,-2.0915872954212027,post_covid_specific_increase,0.000566454299426755
온실,0.0007374479843460496,0.0005659571994694263,-0.00017149078487662328,24.67553588039736,18.895955306400356,-7.494286317955507,post_covid_specific_increase,0.0005659571994694263
콜센터,0.0006357236886827131,0.0005650593537461335,-7.066433493657957e-05,23.728716205857097,24.87178845427165,-0.3918568790078824,post_covid_specific_increase,0.0005650593537461335
유족,0.0008746246505635848,0.0005522432353644467,-0.00032238141519913815,19.61372681210472,14.586688250505205,-6.088997437039231,post_covid_specific_increase,0.0005522432353644467
대상자,0.0008122159289960544,0.0005397946471426803,-0.0002724212818533741,15.798333457164526,13.84353487257032,-2.7168509467963973,post_covid_specific_increase,0.0005397946471426803
주일,0.0006247318156216905,0.0005297008045319993,-9.503101108969121e-05,10.044758226164996,4.046724909708498,-6.415723219001256,post_covid_specific_increase,0.0005297008045319993
월세,0.0009584654373611483,0.0005292961386672741,-0.0004291692986938742,26.25283127676467,11.203918379528073,-16.36906895464525,post_covid_specific_increase,0.0005292961386672741
기부,0.001139388554716066,0.0005265992228240036,-0.0006127893318920623,24.64410013871464,14.838216691184432,-11.055756140066997,post_covid_specific_increase,0.0005265992228240036
명령,0.0007869994601413445,0.0005158162698296117,-0.0002711831903117329,16.95119647022936,12.964285969600972,-4.8222240056174055,post_covid_specific_increase,0.0005158162698296117
환수,0.0006596887818524509,0.0005133854099610288,-0.00014630337189142214,17.770577428167066,14.378218888420871,-4.38981346770404,post_covid_specific_increase,0.0005133854099610288
감축,0.0006703628021038619,0.0005085109250783297,-0.00016185187702553224,18.970727141646805,14.84246021309876,-5.101009088804479,post_covid_specific_increase,0.0005085109250783297
