comparison,interpretation,keyword,period_a,period_b,count_a,count_b,log_odds_z_b_vs_a,direction,abs_log_odds_z,rank_abs_z
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,먼지,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,15326,5132,-41.263655609808474,moon_pre_covid_2017_2019,41.263655609808474,68.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,손학규,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,9436,1827,-41.25831045999253,moon_pre_covid_2017_2019,41.25831045999253,69.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,예산안,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,17731,6649,-41.155350098864766,moon_pre_covid_2017_2019,41.155350098864766,70.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,후보가,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,1057,7830,40.82665877515059,moon_post_covid_2020_2022,40.82665877515059,71.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,착용,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,3876,13240,40.82257714403381,moon_post_covid_2020_2022,40.82257714403381,72.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,전세,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,5389,15801,40.81033647656316,moon_post_covid_2020_2022,40.81033647656316,73.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,보궐,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,1508,8670,40.39375297016924,moon_post_covid_2020_2022,40.39375297016924,74.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,임대차,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,2249,10139,40.38499361714634,moon_post_covid_2020_2022,40.38499361714634,75.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,고위급,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,11226,2931,-40.2422192297958,moon_pre_covid_2017_2019,40.2422192297958,76.0
covid_period_shift,문재인 후기에서 추가 강화된 코로나 이후 변화,아세안,moon_pre_covid_2017_2019,moon_post_covid_2020_2022,11260,2959,-40.18633447305114,moon_pre_covid_2017_2019,40.18633447305114,77.0
