keyword,count_moon_original,count_park_original,log_odds_z_original,direction_original,abs_log_odds_z_original,condition_original,rank_original,count_moon_covid_filtered,count_park_covid_filtered,log_odds_z_covid_filtered,direction_covid_filtered,abs_log_odds_z_covid_filtered,condition_covid_filtered,rank_covid_filtered,retained_in_top_n,direction_stable,rank_change_filtered_minus_original
탄소중립,6203.0,18.0,33.59150760098462,문재인정부,33.59150760098462,original_base,85.0,6203.0,18.0,33.73441324831572,문재인정부,33.73441324831572,covid_filtered,76.0,True,True,-9.0
김현미,8927.0,757.0,33.56734350196884,문재인정부,33.56734350196884,original_base,86.0,8927.0,757.0,33.74869928630986,문재인정부,33.74869928630986,covid_filtered,75.0,True,True,-11.0
기후위기,6141.0,8.0,33.536144445737385,문재인정부,33.536144445737385,original_base,87.0,6141.0,8.0,33.67816436937955,문재인정부,33.67816436937955,covid_filtered,78.0,True,True,-9.0
보복,19360.0,4457.0,33.43665178791237,문재인정부,33.43665178791237,original_base,88.0,19360.0,4457.0,33.72653456708565,문재인정부,33.72653456708565,covid_filtered,77.0,True,True,-11.0
기업부,6074.0,4.0,33.397979660215555,문재인정부,33.397979660215555,original_base,89.0,6074.0,4.0,33.53915454307426,문재인정부,33.53915454307426,covid_filtered,81.0,True,True,-8.0
이인영,10729.0,1339.0,33.378695113773325,문재인정부,33.378695113773325,original_base,90.0,10729.0,1339.0,33.582445035002124,문재인정부,33.582445035002124,covid_filtered,80.0,True,True,-10.0
젠더,8989.0,811.0,33.25297535940732,문재인정부,33.25297535940732,original_base,91.0,8989.0,811.0,33.43558346887157,문재인정부,33.43558346887157,covid_filtered,83.0,True,True,-8.0
암호,9765.0,1063.0,33.131380380810505,문재인정부,33.131380380810505,original_base,92.0,9765.0,1063.0,33.32391163097899,문재인정부,33.32391163097899,covid_filtered,84.0,True,True,-8.0
기후,24869.0,6757.0,33.1052830272153,문재인정부,33.1052830272153,original_base,93.0,24869.0,6757.0,33.440573098901986,문재인정부,33.440573098901986,covid_filtered,82.0,True,True,-11.0
월성,14946.0,2862.0,32.95861655965596,문재인정부,32.95861655965596,original_base,94.0,14946.0,2862.0,33.20826145876677,문재인정부,33.20826145876677,covid_filtered,85.0,True,True,-9.0
김성태,13436.0,2339.0,32.80998924091373,문재인정부,32.80998924091373,original_base,95.0,13436.0,2339.0,33.04447544708183,문재인정부,33.04447544708183,covid_filtered,86.0,True,True,-9.0
열린민주당,5808.0,0.0,32.70374848475541,문재인정부,32.70374848475541,original_base,96.0,5808.0,0.0,32.84172899870578,문재인정부,32.84172899870578,covid_filtered,89.0,True,True,-7.0
솔루션,17491.0,3867.0,32.68388720001837,문재인정부,32.68388720001837,original_base,97.0,17491.0,3867.0,32.95814782193516,문재인정부,32.95814782193516,covid_filtered,87.0,True,True,-10.0
누적,24443.0,6700.0,32.549876160064215,문재인정부,32.549876160064215,original_base,98.0,24443.0,6700.0,32.88265961233781,문재인정부,32.88265961233781,covid_filtered,88.0,True,True,-10.0
김상조,11497.0,1705.0,32.527440231217206,문재인정부,32.527440231217206,original_base,99.0,11497.0,1705.0,32.741250435509194,문재인정부,32.741250435509194,covid_filtered,90.0,True,True,-9.0
코로나,496130.0,165.0,302.816924321301,문재인정부,302.816924321301,original_base,1.0,,,,,,,,False,False,
확진자,93228.0,1414.0,126.9298154155011,문재인정부,126.9298154155011,original_base,2.0,,,,,,,,False,False,
방역,84302.0,2962.0,115.57014702317647,문재인정부,115.57014702317647,original_base,3.0,,,,,,,,False,False,
접종,75100.0,1395.0,113.08048656340245,문재인정부,113.08048656340245,original_base,4.0,,,,,,,,False,False,
팬데믹,16085.0,18.0,54.2993394464519,문재인정부,54.2993394464519,original_base,15.0,,,,,,,,False,False,
비대면,10437.0,153.0,42.49736354476416,문재인정부,42.49736354476416,original_base,33.0,,,,,,,,False,False,
재난지원금,8468.0,45.0,39.048860874042106,문재인정부,39.048860874042106,original_base,44.0,,,,,,,,False,False,
자가격리,8243.0,315.0,35.87905611626842,문재인정부,35.87905611626842,original_base,57.0,,,,,,,,False,False,
델타,7114.0,154.0,34.561155193710555,문재인정부,34.561155193710555,original_base,65.0,,,,,,,,False,False,
공기업,14477.0,16597.0,-32.52684429555349,박근혜정부,32.52684429555349,original_base,100.0,,,,,,,,False,False,
고민정,,,,,,,,5971.0,91.0,32.24454634160151,문재인정부,32.24454634160151,covid_filtered,99.0,False,False,
기무사,,,,,,,,9488.0,1091.0,32.35854970834604,문재인정부,32.35854970834604,covid_filtered,96.0,False,False,
김영철,,,,,,,,10811.0,1492.0,32.60358612705734,문재인정부,32.60358612705734,covid_filtered,92.0,False,False,
김태년,,,,,,,,8192.0,694.0,32.33561706559216,문재인정부,32.33561706559216,covid_filtered,97.0,False,False,
모더,,,,,,,,5708.0,0.0,32.55775614760414,문재인정부,32.55775614760414,covid_filtered,94.0,False,False,
발사체,,,,,,,,10275.0,1302.0,32.707047700324054,문재인정부,32.707047700324054,covid_filtered,91.0,False,False,
성범죄,,,,,,,,18379.0,4283.0,32.57670507340606,문재인정부,32.57670507340606,covid_filtered,93.0,False,False,
신혼부부,,,,,,,,13729.0,2526.0,32.5034294238651,문재인정부,32.5034294238651,covid_filtered,95.0,False,False,
주택자,,,,,,,,7708.0,556.0,32.29726916084579,문재인정부,32.29726916084579,covid_filtered,98.0,False,False,
추신수,,,,,,,,1597.0,4469.0,-32.216154216990894,박근혜정부,32.216154216990894,covid_filtered,100.0,False,False,
