keyword,tfidf_park,tfidf_moon,importance,delta_moon_minus_park,pct_change_moon_vs_park,condition
것이다,0.0024008487732443172,0.0023627290681776728,0.00476357784142199,-3.811970506664448e-05,-1.5877595245256755,original_base
비례,0.002249408132218528,0.0024872273338606516,0.00473663546607918,0.0002378192016421238,10.572523422308846,original_base
지하,0.002171526555656062,0.002545947971818195,0.004717474527474257,0.0003744214161621332,17.24231348619234,original_base
가동,0.0020411055904927967,0.002671947265013816,0.004713052855506612,0.0006308416745210194,30.906861333357643,original_base
의식,0.0024840135418116843,0.0022247408418419588,0.004708754383653643,-0.00025927269996972547,-10.437652436493087,original_base
보완,0.002140315180262353,0.002563925120910266,0.004704240301172619,0.000423609940647913,19.791942072568407,original_base
협조,0.002157241117597805,0.0025370650281422965,0.004694306145740101,0.0003798239105444914,17.606928935576946,original_base
보도합니다,0.0024118585370672984,0.0022758313550247503,0.004687689892092049,-0.00013602718204254807,-5.639932025530421,original_base
화제,0.002738494473925578,0.0019481249231700908,0.004686619397095669,-0.0007903695507554874,-28.86146232102883,original_base
자신들,0.0026403173970277697,0.00204589062643481,0.00468620802346258,-0.0005944267705929596,-22.513458846353526,original_base
평소,0.0025383016113522464,0.0021458348440694676,0.004684136455421714,-0.0003924667672827787,-15.461786161562467,original_base
치열,0.002435596317082941,0.002233158280340041,0.0046687545974229815,-0.00020243803674290005,-8.311641601813372,original_base
부과,0.0020365341633867677,0.002621580770422054,0.004658114933808822,0.0005850466070352863,28.72756163649867,original_base
중구,0.0021715611314783202,0.002481999782846323,0.004653560914324643,0.0003104386513680026,14.295644127534517,original_base
