단어,log_odds_z,강화_정부
조두순,23.240194107900123,문재인정부
조수진,23.216796922859782,문재인정부
양도,23.185904262452,문재인정부
택지,23.161910570458822,문재인정부
김근식,23.134979293685923,문재인정부
에스퍼,23.13265726858785,문재인정부
김효신,23.1042919637768,문재인정부
제보,23.08503414188236,문재인정부
신재민,23.06305584578994,문재인정부
조정안,23.04533139620839,문재인정부
인권위,23.043134322469466,문재인정부
이강인,23.019636781549554,문재인정부
커머스,23.019186650466803,문재인정부
젤렌스키,23.008937976129104,문재인정부
정통부,22.98337466503189,문재인정부
임종헌,22.962881848638162,문재인정부
김정숙,22.94365948194138,문재인정부
트랙,22.93950151095147,문재인정부
자영업자들,22.931415124152082,문재인정부
긴급재난지원금,22.896617001458466,문재인정부
표심,22.87318805939213,문재인정부
보궐,22.86608493280621,문재인정부
가덕도,22.86483273417764,문재인정부
사모,22.83838837901292,문재인정부
방북,22.830507871884556,문재인정부
댓글,22.825041740260172,문재인정부
김지은,22.81668241905861,문재인정부
폴드,22.785340270132707,문재인정부
이커머스,22.773575812350817,문재인정부
후보가,22.739027974004635,문재인정부
재개발,22.71405719782558,문재인정부
옵티머스,22.712230969424994,문재인정부
평화당,22.70193903933256,문재인정부
면제,22.70030167147781,문재인정부
근로,22.691462304177414,문재인정부
치명률,22.689887042671046,문재인정부
미중,22.689312706264225,문재인정부
매입,22.66389823673876,문재인정부
손준성,22.65174554135418,문재인정부
비수도권,22.610367167383437,문재인정부
피고인,22.588468383743553,문재인정부
투기과열지구,22.58363256562642,문재인정부
이도훈,22.555859686659634,문재인정부
여성,22.550604178427992,문재인정부
실수요자,22.527357786845624,문재인정부
과기부,22.511580614173347,문재인정부
박창환,22.501263200664802,문재인정부
거주,22.49034045522238,문재인정부
식약처,22.479270610904187,문재인정부
고발장,22.47140462110119,문재인정부
씽큐,22.461490565883963,문재인정부
합당,22.44596588356446,문재인정부
결제,22.429996870557687,문재인정부
안정자금,22.42704074200703,문재인정부
판사들,22.413262907659274,문재인정부
예배,22.40488048368261,문재인정부
황운하,22.3714297435109,문재인정부
평창올림픽,22.37011259013119,문재인정부
가해,22.363823783194473,문재인정부
폐쇄,22.351343491510143,문재인정부
수사심의위,22.34302850946969,문재인정부
리니지,22.33746391508616,문재인정부
틸러슨,22.329515681941203,문재인정부
해제,22.326116862458385,문재인정부
진천,22.312642303179047,문재인정부
구광모,22.311494434247166,문재인정부
현대모비스,22.29356026071562,문재인정부
방송일시,22.29232152830383,문재인정부
양정철,22.285048723783436,문재인정부
네거티브,22.27657501780176,문재인정부
국무위원장이,22.244511373794086,문재인정부
박항서,22.24015688158036,문재인정부
은성수,22.239513837928968,문재인정부
사법개혁,22.199636449606235,문재인정부
표창장,22.193979927340333,문재인정부
동맹,22.16536144013213,문재인정부
봉쇄,22.14310852926424,문재인정부
새보수당,22.13602343774121,문재인정부
무역분쟁,22.10018853183979,문재인정부
박수현,22.08937528316654,문재인정부
재생에너지,22.08792430997946,문재인정부
미북,22.076318222469208,문재인정부
특감반,22.05947753991324,문재인정부
종료,22.02394217248785,문재인정부
가성비,22.02231174747213,문재인정부
바른정당,22.0096249727165,문재인정부
전염병,21.97859002547406,문재인정부
매물,21.96449281461925,문재인정부
누리호,21.960598916574018,문재인정부
한유총,21.956514805033,문재인정부
양소영,21.952011844253903,문재인정부
폴더블,21.919140259160976,문재인정부
법무,21.914368447371338,문재인정부
폐기물,21.91045124411386,문재인정부
종합부동산세,21.91009221844053,문재인정부
상속세,21.878571982031687,문재인정부
뉴스공장,21.876940898477017,문재인정부
요소수,21.87659351170154,문재인정부
여파,21.874718768389236,문재인정부
회분,21.87336218563088,문재인정부
실내,21.8729023788151,문재인정부
곽수종,21.860304680905557,문재인정부
에마뉘엘,21.849998896312396,문재인정부
강릉,21.842984885098513,문재인정부
소방청,21.822638012883605,문재인정부
아세안,21.82243795397732,문재인정부
부시장,21.82172762285789,문재인정부
전광훈,21.79081208282476,문재인정부
