단어,log_odds_z,강화_정부
곽수종,21.920300217714075,문재인정부
강릉,21.91738901647992,문재인정부
아세안,21.910584819415796,문재인정부
뉴스공장,21.910058927280588,문재인정부
요소수,21.908498927404434,문재인정부
회분,21.905731280801845,문재인정부
부시장,21.896190250400707,문재인정부
에마뉘엘,21.884692315117558,문재인정부
기재부,21.884533094341773,문재인정부
소방청,21.858653183738742,문재인정부
입당,21.84275940542539,문재인정부
이노베이션,21.83959584202418,문재인정부
부통령,21.82562132561794,문재인정부
전광훈,21.822932215199273,문재인정부
조명균,21.812676331458466,문재인정부
송치,21.80243359118138,문재인정부
빅히트,21.801531280158176,문재인정부
토스,21.79698684412279,문재인정부
고검장,21.7900233385511,문재인정부
자치경찰제,21.775017809088734,문재인정부
자율,21.774248869019896,문재인정부
언론중재법,21.738655640886673,문재인정부
포용,21.733305783317476,문재인정부
번방,21.726350625722024,문재인정부
킥보드,21.72101748966839,문재인정부
집계,21.719100424942788,문재인정부
카카오페이,21.706994361264933,문재인정부
전략,21.685294914836255,문재인정부
접종률,21.665937739681635,문재인정부
지휘,21.66387952511271,문재인정부
메타,21.65416974545481,문재인정부
크리에이터,21.62585001516966,문재인정부
물가,21.612684006979265,문재인정부
인플루언서,21.574911680986187,문재인정부
천은미,21.572125048492623,문재인정부
촛불혁명,21.556898150924336,문재인정부
부산시장,21.544609489644742,문재인정부
생활치료센터,21.538333877806444,문재인정부
가상자산,21.521178239268114,문재인정부
한덕수,21.49532747821385,문재인정부
중수청,21.49112292228719,문재인정부
심재철,21.49077509251142,문재인정부
매수,21.454968139173506,문재인정부
더불어시민당,21.448113703529028,문재인정부
저감,21.428915253711853,문재인정부
수사관,21.412688493087874,문재인정부
위성정당,21.40933154144638,문재인정부
초선,21.400399174600654,문재인정부
중앙방역대책본부,21.388024771777246,문재인정부
이더리움,21.357313785986367,문재인정부
오거돈,21.341821222854783,문재인정부
직권남용,21.304871945037377,문재인정부
대선후보,21.302393616730537,문재인정부
상용,21.286847697826925,문재인정부
침공,21.28231054404222,문재인정부
비위,21.27707787112081,문재인정부
조정대상지역,21.2706794991226,문재인정부
전파력,21.265654696528156,문재인정부
논란,21.250570330213765,문재인정부
보수통합,21.24229592730072,문재인정부
동영,21.216874812322708,문재인정부
토지,21.181239261219336,문재인정부
반려동물,21.174994386080588,문재인정부
로이터통신,21.16863481072139,문재인정부
재생,21.16282926536786,문재인정부
베이조스,21.15769706728545,문재인정부
키트,21.141240736124214,문재인정부
챗봇,21.112076058821334,문재인정부
제약사,21.10697262583926,문재인정부
최진,21.077796004521137,문재인정부
비판,21.061918932760772,문재인정부
성윤모,21.032800990372337,문재인정부
한국토지주택공사,21.017507099672297,문재인정부
카카오모빌리티,20.97359462837936,문재인정부
사립유치원,20.970884419385925,문재인정부
기지국,20.95724909515351,문재인정부
분리,20.93417804641287,문재인정부
김태우,20.92648956197982,문재인정부
태양광,20.92015859712024,문재인정부
엔비디아,20.910638884706504,문재인정부
장혜영,20.910275839830682,문재인정부
가상통화,20.87900447191691,문재인정부
게이밍,20.845245882076117,문재인정부
박원곤,20.831865397975704,문재인정부
자막뉴스,20.83176546858653,문재인정부
허가,20.819214904332345,문재인정부
특별공급,20.787826680365164,문재인정부
펭수,20.783419526612942,문재인정부
장원석,20.747462776494466,문재인정부
대면,20.74650197164012,문재인정부
취업자,20.741065282149364,문재인정부
고도화,20.729683073668003,문재인정부
폭등,20.719260460984525,문재인정부
중앙재난안전대책본부,20.71565663843779,문재인정부
선별진료소,20.674695156481608,문재인정부
지역화폐,20.652648083239168,문재인정부
펠로시,20.610742804815445,문재인정부
메가시티,20.59921184053295,문재인정부
무역협상,20.56994725254966,문재인정부
국민소통수석,20.551089810006534,문재인정부
생생경제,20.5469038172321,문재인정부
동선,20.540827223664714,문재인정부
오차범위,20.537964420574284,문재인정부
대담,20.528375086060162,문재인정부
예술단,20.503383845445924,문재인정부
명대,20.49042879927243,문재인정부
교인,20.483715366020217,문재인정부
보건소,20.480111390699303,문재인정부
역학조사,20.47946153498863,문재인정부
쏘카,20.47236743515921,문재인정부
김진욱,20.468400855097908,문재인정부
이대남,20.43756196689058,문재인정부
꼰대,20.422336098314194,문재인정부
포렌식,20.415254352947372,문재인정부
무주택자,20.37611895225476,문재인정부
김광삼,20.365612614724206,문재인정부
등락률,20.354359705524573,문재인정부
류호정,20.340049097162893,문재인정부
노바백스,20.338816448318084,문재인정부
웜비어,20.325482219616596,문재인정부
혐오,20.31714104982399,문재인정부
김형준,20.30632673775395,문재인정부
선별,20.289143571761866,문재인정부
연락,20.286798057648102,문재인정부
테이퍼링,20.280770006146415,문재인정부
백신을,20.27886994588963,문재인정부
미접종자,20.261489106288423,문재인정부
실증,20.258766933837983,문재인정부
국채,20.223701748919147,문재인정부
규제혁신,20.212815934396644,문재인정부
박병석,20.19413804189411,문재인정부
국민의힘은,20.193013211866635,문재인정부
양육비,20.19085090965254,문재인정부
김종민,20.181240771532494,문재인정부
노무현재단,20.170839236748336,문재인정부
정치보복,20.158378894708925,문재인정부
공공,20.15375739207092,문재인정부
백신접종,20.1527826503353,문재인정부
증여,20.124989062364044,문재인정부
문건,20.116673295317504,문재인정부
노위,20.112322380864768,문재인정부
방대본,20.10594232398112,문재인정부
산업혁명,20.10144145326971,문재인정부
증원,20.097118960006185,문재인정부
증강현실,20.091855653882018,문재인정부
수석대변인,20.079460553578652,문재인정부
대미,20.075357082708422,문재인정부
전원회의,20.058365349154577,문재인정부
불공정,20.040077206043524,문재인정부
조남관,20.02168803528803,문재인정부
남불,20.002856766711922,문재인정부
임상시험,19.99599805195164,문재인정부
제조,19.982145053550095,문재인정부
신라젠,19.956487052502,문재인정부
예약,19.955344636351064,문재인정부
시총,19.940287231082262,문재인정부
연동형,19.926150382940467,문재인정부
공모,19.91890704421344,문재인정부
페이스북에,19.911671520115252,문재인정부
취약계층,19.908471165274772,문재인정부
백순영,19.904000585658796,문재인정부
트로트,19.864581016031515,문재인정부
이스타항공,19.862156513560343,문재인정부
물류,19.844766681364767,문재인정부
선거제,19.84286844184859,문재인정부
포스트,19.839032267961496,문재인정부
집단면역,19.817346932630024,문재인정부
폭염,19.811190597210967,문재인정부
분양가상한제,19.80328055026799,문재인정부
석탄,19.80309446515326,문재인정부
